customer_input,recommendations
,
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products. Recommend me pant.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Recommend me navy cotton men casual polo shirt. Recommend me all dresses. Recommend me hat. Recommend me black color products. Recommend me pant.  njkewhor;saeiuGVNJA;ERUOZNHVAF......CDKAS.,"[""We recommend the Dress which is of Cotton material in Navy color for Women and it is Casual wear of sizes S, M, L. Price: $40. Description: Casual navy polo dress with a classic look.."", ""We recommend the Polo Shirt which is of Cotton material in Navy color for Men and it is Casual wear of sizes S, M, L, XL. Price: $30. Description: Classic navy striped polo shirt for a smart casual look..""]"
Looking for a warm winter coat,"[""We recommend the WinterWonder coat which is wool in black color and size XL."", ""Consider the SnowPeak coat, polyester, blue color, size L.""]"
Recommend me Shirt.,"[{""prod_id"": 23.0, ""prod"": ""Shirt"", ""Material"": ""Linen"", ""Size"": ""S, M, L, XL"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Breathable white linen shirt perfect for summer."", ""combined"": ""shirt, Linen, S, M, L, XL, White, Men, Casual, $35, Breathable white linen shirt perfect for summer."", ""prod_lemmatized"": ""shirt""}, {""prod_id"": NaN, ""prod"": ""Shirt"", ""Material"": ""Cotton"", ""Size"": ""15-18"", ""Color"": ""White"", ""Gender"": ""Men"", ""Wears"": ""Formal"", ""Price"": ""$40"", ""Description"": ""Crisp white dress shirt for formal or business settings."", ""combined"": ""shirt, Cotton, 15-18, White, Men, Formal, $40, Crisp white dress shirt for formal or business settings."", ""prod_lemmatized"": ""shirt""}]"
Recommend me Pants.,"[{""prod_id"": NaN, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Comfortable khaki pants for everyday wear."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Comfortable khaki pants for everyday wear."", ""prod_lemmatized"": ""pant""}, {""prod_id"": 10.0, ""prod"": ""Pants"", ""Material"": ""Cotton"", ""Size"": ""28-38"", ""Color"": ""Khaki"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$35"", ""Description"": ""Durable khaki cargo pants with multiple pockets."", ""combined"": ""pant, Cotton, 28-38, Khaki, Men, Casual, $35, Durable khaki cargo pants with multiple pockets."", ""prod_lemmatized"": ""pant""}]"
Recommend me Jacket.,"[{""prod_id"": 4.0, ""prod"": ""Jacket"", ""Material"": ""Leather"", ""Size"": ""S, M, L, XL"", ""Color"": ""Black"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$150"", ""Description"": ""Sleek black leather jacket for a cool, edgy look."", ""combined"": ""jacket, Leather, S, M, L, XL, Black, Men, Casual, $150, Sleek black leather jacket for a cool, edgy look."", ""prod_lemmatized"": ""jacket""}, {""prod_id"": NaN, ""prod"": ""Jacket"", ""Material"": ""Nylon"", ""Size"": ""S, M, L, XL"", ""Color"": ""Green"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$60"", ""Description"": ""Trendy green bomber jacket for a casual look."", ""combined"": ""jacket, Nylon, S, M, L, XL, Green, Men, Casual, $60, Trendy green bomber jacket for a casual look."", ""prod_lemmatized"": ""jacket""}]"
Recommend me Polo Shirt.,"[{""prod_id"": 7.0, ""prod"": ""Polo Shirt"", ""Material"": ""Cotton"", ""Size"": ""S, M, L, XL"", ""Color"": ""Navy"", ""Gender"": ""Men"", ""Wears"": ""Casual"", ""Price"": ""$30"", ""Description"": ""Classic navy striped polo shirt for a smart casual look."", ""combined"": ""Polo Shirt, Cotton, S, M, L, XL, Navy, Men, Casual, $30, Classic navy striped polo shirt for a smart casual look."", ""prod_lemmatized"": ""polo shirt""}]"
