prod,Material,Size,Color,Gender,Wears,Price,Description
t-shirt,Cotton,"S, M, L, XL",White,Unisex,Casual,$20,Soft and breathable cotton tee for everyday wear.
jeans,Denim,28-38,Blue,Men,Casual,$50,Stylish slim fit jeans with a classic blue wash.
dress,Chiffon,"S, M, L",Floral Print,Women,Casual,$45,Lightweight floral dress perfect for summer days.
jacket,Leather,"S, M, L, XL",Black,Men,Casual,$150,"Sleek black leather jacket for a cool, edgy look."
shoes,Mesh,"S, M, L, XL",Red,Unisex,Sports,$60,Breathable mesh running shoes with great support.
scarf,Wool,One Size,Grey,Unisex,Winter,$25,Cozy woolen scarf to keep you warm in winter.
polo shirt,Cotton,"S, M, L, XL",Navy,Men,Casual,$30,Classic navy striped polo shirt for a smart casual look.
dress,Silk,"S, M, L",Red,Women,Formal,$70,Elegant silk maxi dress perfect for formal events.
sweatshirt,Cotton Blend,"S, M, L, XL",Grey,Unisex,Casual,$40,Comfortable grey hooded sweatshirt for everyday wear.
pant,Cotton,28-38,Khaki,Men,Casual,$35,Durable khaki cargo pants with multiple pockets.
boot,Leather,"S, M, L, XL",Brown,Women,Casual,$80,Stylish brown leather ankle boots with a comfortable fit.
shorts,Polyester,"S, M, L, XL",Blue,Men,Swimwear,$25,Quick-dry swim trunks perfect for the beach.
dress,Polyester,"S, M, L",Black,Women,Evening Wear,$50,Classic little black dress for an elegant evening look.
pant,Spandex,"S, M, L, XL",Black,Women,Sports,$30,Flexible and comfortable yoga pants for any workout.
hat,Cotton,One Size,Red,Unisex,Casual,$15,Casual red baseball cap with adjustable strap.
coat,Wool Blend,"S, M, L, XL",Black,Men,Winter,$120,Warm and stylish black winter coat for cold days.
pajama,Satin,"S, M, L",Pink,Women,Sleepwear,$40,Luxurious satin pajamas for a comfortable night's sleep.
jacket,Denim,"S, M, L, XL",Blue,Unisex,Casual,$60,Classic blue denim jacket for a trendy casual look.
hat,Straw,One Size,Beige,Women,Summer,$20,Stylish straw sun hat perfect for sunny days.
suit,Wool,38-44,Grey,Men,Formal,$200,Elegant grey business suit for professional settings.
dress,Sequins,"S, M, L",Gold,Women,Party Wear,$100,Eye-catching gold sequin dress for a night out.
boot,Leather,"S, M, L, XL",Brown,Unisex,Outdoor,$90,Durable and comfortable hiking boots for outdoor adventures.
shirt,Linen,"S, M, L, XL",White,Men,Casual,$35,Breathable white linen shirt perfect for summer.
blazer,Cotton Blend,"S, M, L, XL",Navy,Women,Formal,$70,Stylish navy blazer for a professional look.
jacket,Polyester,"S, M, L, XL",Red,Unisex,Winter,$150,Insulated red ski jacket for winter sports.
shorts,Cotton,28-38,Beige,Men,Casual,$25,Comfortable beige shorts perfect for summer.
gown,Silk,"S, M, L",Black,Women,Formal,$150,Elegant black silk evening gown for special occasions.
t-shirt,Cotton,"S, M, L, XL",White,Unisex,Casual,$20,Trendy white tee with a unique graphic print.
coat,Cotton,"S, M, L, XL",Beige,Women,Casual,$100,Classic beige trench coat for a timeless look.
legging,Spandex,"S, M, L, XL",Black,Women,Sports,$30,Comfortable black leggings for fitness enthusiasts.
belt,Leather,"S, M, L, XL",Brown,Unisex,Casual,$25,Durable brown leather belt with a classic design.
sneakers,Canvas,"S, M, L, XL",White,Unisex,Casual,$40,Comfortable white canvas sneakers for everyday wear.
glove,Wool,"S, M, L",Black,Unisex,Winter,$20,Warm black wool gloves for cold winter days.
dress,Satin,"S, M, L",Red,Women,Party Wear,$80,Stunning red satin cocktail dress for evening events.
dress,Cotton,"S, M, L",Navy,Women,Casual,$40,Casual navy polo dress with a classic look.
wallet,Leather,One Size,Black,Unisex,Everyday,$35,Sleek black leather wallet with multiple compartments.
jacket,Nylon,"S, M, L, XL",Green,Men,Casual,$60,Trendy green bomber jacket for a casual look.
skirt,Cotton,"S, M, L",Floral Print,Women,Casual,$35,Comfortable floral maxi skirt for a boho-chic style.
boot,Leather,"S, M, L, XL",Black,Women,Winter,$90,Warm black leather winter boots with fur lining.
hoodie,Cotton Blend,"S, M, L, XL",Grey,Unisex,Casual,$45,Comfortable grey hoodie with a unique graphic print.
dress,Cotton,"S, M, L",Yellow,Women,Casual,$40,Bright yellow summer dress perfect for sunny days.
pant,Cotton,28-38,Khaki,Men,Casual,$35,Comfortable khaki pants for everyday wear.
cardigan,Wool,"S, M, L, XL",Grey,Women,Casual,$50,Cozy grey wool cardigan for layering.
shorts,Polyester,"S, M, L, XL",Black,Unisex,Sports,$25,Lightweight black running shorts with moisture-wicking fabric.
coat,Wool Blend,"S, M, L, XL",Navy,Men,Winter,$120,Classic navy peacoat for a stylish winter look.
blouse,Lace,"S, M, L",White,Women,Casual,$35,Elegant white lace blouse perfect for casual occasions.
jacket,Polyester,"S, M, L, XL",Blue,Unisex,Sports,$50,Comfortable blue track jacket for workouts or casual wear.
pant,Cotton,"S, M, L, XL",Black,Women,Casual,$30,Stylish black capri pants perfect for casual outings.
shirt,Cotton,15-18,White,Men,Formal,$40,Crisp white dress shirt for formal or business settings.
robe,Satin,"S, M, L",Purple,Women,Sleepwear,$50,Luxurious purple satin robe for relaxing at home.
ceramic dinner set,Ceramic,16-piece,White,Kitchen,Dinnerware,$80,Elegant white ceramic dinner set for family meals.
stainless steel pan,Stainless Steel,12-inch,Silver,Kitchen,Cookware,$35,Durable stainless steel pan perfect for cooking.
cotton bath towel,Cotton,"27""x54""",Blue,Bathroom,Towels,$25,Soft and absorbent blue cotton bath towels.
wooden cutting board,Wood,"18""x12""",Brown,Kitchen,Cutting Board,$20,Sturdy wooden cutting board for everyday use.
memory foam pillow,Memory Foam,Standard,White,Bedroom,Pillow,$30,Comfortable memory foam pillow for a good night's sleep.
glass vase,Glass,10-inch,Clear,Living Room,Decor,$15,Elegant clear glass vase for flowers.
ironing board,Metal/Cotton,"54""x15""",White/Blue,Laundry,Ironing Board,$40,Sturdy ironing board with a cotton cover.
led desk Lamp,Plastic,16-inch,Black,Office,Lighting,$25,Adjustable LED desk lamp with multiple brightness levels.
wool area rug,Wool,5'x7',Grey,Living Room,Rugs,$100,Cozy grey wool area rug to enhance your living space.
non-stick frying pan,Non-Stick,10-inch,Black,Kitchen,Cookware,$25,Easy-to-clean non-stick frying pan for quick meals.
bamboo shoe rack,Bamboo,3-tier,Natural,Entryway,Furniture,$40,Stylish bamboo shoe rack to keep your shoes organized.
plastic storage bin,Plastic,20-gallon,Clear,Storage,Containers,$20,Durable plastic storage bins for organizing your items.
cotton bed sheet,Cotton,Queen,White,Bedroom,Bedding,$50,Soft and breathable white cotton bed sheets for comfort.
ceramic coffee mug,Ceramic,12 oz,Black,Kitchen,Drinkware,$10,Classic black ceramic coffee mug for your morning brew.
stainless steel kettle,Stainless Steel,2-liter,Silver,Kitchen,Appliances,$30,Fast-boiling stainless steel kettle for hot beverages.
wooden bookshelf,Wood,5-shelf,Brown,Living Room,Furniture,$70,Spacious wooden bookshelf for organizing your books.
